feature,gain
hc__mlf_scoreflow_components_dark_pool__mlf_scoreflow_components_iv_skew__mlf_entry_uw_sentiment_score__mlf_scoreflow_components_toxicity_penalty__mlf_direction_intel_embed_intel_snapshot_entry_volati,71.04369354248047
hc__mlf_scoreflow_components_iv_skew__mlf_scoreflow_total_score__mlf_entry_uw_sentiment_score__mlf_direction_intel_embed_intel_snapshot_entry_volatility_intel_realized_vol_20d,35.1527214050293
hc__mlf_scoreflow_components_flow__mlf_scoreflow_components_iv_skew__mlf_scoreflow_total_score__mlf_entry_uw_sentiment_score__mlf_direction_intel_embed_intel_snapshot_entry_volatility_intel_realized_v,31.8604679107666
hc__mlf_scoreflow_components_flow__mlf_scoreflow_components_iv_skew__mlf_scoreflow_total_score__mlf_entry_uw_sentiment_score,20.333282470703125
mlf_direction_intel_embed_intel_snapshot_entry_regime_posture_market_context_spy_overnight_ret,19.24445152282715
hc__mlf_scoreflow_components_dark_pool__mlf_scoreflow_components_flow__mlf_scoreflow_components_iv_skew__mlf_scoreflow_total_score__mlf_entry_uw_sentiment_score,17.99679183959961
hc__mlf_scoreflow_components_iv_skew__mlf_entry_uw_sentiment_score__mlf_direction_intel_embed_intel_snapshot_entry_regime_posture_market_context_spy_overnight_ret,11.40155029296875
hc__mlf_entry_uw_flow_strength__mlf_scoreflow_components_flow__mlf_direction_intel_embed_intel_snapshot_entry_volatility_intel_realized_vol_20d,11.285072326660156
hc__mlf_entry_uw_flow_strength__mlf_scoreflow_components_flow__mlf_scoreflow_components_iv_skew,10.996030807495117
hc__mlf_scoreflow_components_dark_pool__mlf_scoreflow_components_iv_skew__mlf_scoreflow_total_score__mlf_direction_intel_embed_intel_snapshot_entry_regime_posture_market_context_spy_overnight_ret,10.169367790222168
hc__mlf_scoreflow_components_flow__mlf_scoreflow_components_iv_skew__mlf_scoreflow_total_score,9.455585479736328
hc__mlf_scoreflow_components_iv_skew__mlf_scoreflow_total_score__mlf_scoreflow_components_toxicity_penalty__mlf_direction_intel_embed_intel_snapshot_entry_regime_posture_market_context_spy_overnight_r,9.009291648864746
hc__mlf_scoreflow_components_dark_pool__mlf_scoreflow_components_iv_skew__mlf_scoreflow_total_score,8.880425453186035
hc__mlf_scoreflow_components_iv_skew__mlf_scoreflow_total_score__mlf_entry_uw_sentiment_score__mlf_direction_intel_embed_intel_snapshot_entry_regime_posture_market_context_spy_overnight_ret,8.80887508392334
hc__mlf_entry_uw_flow_strength__mlf_scoreflow_components_dark_pool__mlf_scoreflow_components_iv_skew__mlf_scoreflow_total_score__mlf_direction_intel_embed_intel_snapshot_entry_regime_posture_market_co,7.840916633605957
hc__mlf_scoreflow_components_dark_pool__mlf_scoreflow_components_flow__mlf_scoreflow_components_iv_skew__mlf_scoreflow_total_score__mlf_direction_intel_embed_intel_snapshot_entry_volatility_intel_real,7.786706924438477
hc__mlf_scoreflow_components_iv_skew__mlf_scoreflow_total_score__mlf_scoreflow_components_toxicity_penalty,7.4955973625183105
hc__mlf_scoreflow_components_dark_pool__mlf_scoreflow_components_flow__mlf_scoreflow_total_score,6.23278284072876
hc__mlf_scoreflow_components_flow__mlf_scoreflow_components_iv_skew__mlf_direction_intel_embed_intel_snapshot_entry_regime_posture_market_context_spy_overnight_ret,6.180880546569824
hc__mlf_scoreflow_components_dark_pool__mlf_scoreflow_components_flow__mlf_scoreflow_total_score__mlf_scoreflow_components_toxicity_penalty,6.161530017852783
hc__mlf_scoreflow_total_score__mlf_entry_uw_sentiment_score__mlf_scoreflow_components_toxicity_penalty,6.103455543518066
hc__mlf_entry_uw_flow_strength__mlf_scoreflow_components_dark_pool__mlf_scoreflow_total_score__mlf_direction_intel_embed_intel_snapshot_entry_volatility_intel_realized_vol_20d,5.971641540527344
mlf_entry_uw_flow_strength,5.914752006530762
hc__mlf_scoreflow_components_dark_pool__mlf_scoreflow_components_iv_skew__mlf_entry_uw_sentiment_score__mlf_direction_intel_embed_intel_snapshot_entry_volatility_intel_realized_vol_20d,5.880130767822266
hc__mlf_scoreflow_components_flow__mlf_scoreflow_components_iv_skew__mlf_scoreflow_components_toxicity_penalty,5.832360744476318
