symbol,side,score,decision_outcome,blocked_reason,has_feature_snapshot,has_thesis_tags
SPY,buy,3.0,entered,,True,True
QQQ,sell,3.1,entered,,True,True
AAPL,buy,3.2,entered,,True,True
SPY,buy,3.7,entered,,True,True
QQQ,sell,3.6,entered,,True,True
AAPL,buy,4.46,entered,,True,True
MSFT,buy,2.5,blocked,score_below_min,True,True
NVDA,buy,3.62,entered,,True,True
TSLA,buy,3.54,entered,,True,True
AMD,sell,4.48,entered,,True,True
META,sell,4.12,entered,,True,True
AMZN,buy,2.74,blocked,score_below_min,True,True
COIN,sell,3.16,entered,,True,True
PLTR,sell,2.8,blocked,score_below_min,True,True
GS,buy,4.1,entered,,True,True
JPM,sell,4.36,entered,,True,True
BAC,buy,2.54,blocked,score_below_min,True,True
SPY,buy,4.34,entered,,True,True
QQQ,sell,3.96,entered,,True,True
AAPL,buy,2.7800000000000002,blocked,score_below_min,True,True
MSFT,buy,3.06,entered,,True,True
NVDA,buy,3.02,entered,,True,True
TSLA,sell,4.16,entered,,True,True
AMD,buy,3.1,entered,,True,True
META,sell,4.0,entered,,True,True
AMZN,sell,2.56,blocked,score_below_min,True,True
COIN,sell,3.24,entered,,True,True
PLTR,buy,2.86,blocked,score_below_min,True,True
GS,buy,3.3,entered,,True,True
JPM,sell,3.7199999999999998,entered,,True,True
BAC,sell,3.6,entered,,True,True
SPY,sell,3.08,entered,,True,True
QQQ,sell,4.08,entered,,True,True
AAPL,sell,3.88,entered,,True,True
MSFT,sell,4.36,entered,,True,True
NVDA,sell,3.04,entered,,True,True
TSLA,buy,3.9,entered,,True,True
AMD,sell,3.76,entered,,True,True
META,sell,3.52,entered,,True,True
AMZN,sell,3.24,entered,,True,True
COIN,sell,4.0,entered,,True,True
PLTR,sell,4.04,entered,,True,True
GS,buy,4.02,entered,,True,True
JPM,sell,2.6,blocked,score_below_min,True,True
BAC,buy,2.94,blocked,score_below_min,True,True
SPY,buy,2.62,blocked,score_below_min,True,True
QQQ,sell,2.92,blocked,score_below_min,True,True
AAPL,sell,4.36,entered,,True,True
MSFT,buy,2.54,blocked,score_below_min,True,True
NVDA,sell,3.7199999999999998,entered,,True,True
TSLA,sell,4.28,entered,,True,True
AMD,sell,4.16,entered,,True,True
META,sell,3.2,entered,,True,True
AMZN,sell,3.6799999999999997,entered,,True,True
COIN,sell,3.96,entered,,True,True
PLTR,sell,3.48,entered,,True,True
GS,buy,3.34,entered,,True,True
JPM,buy,2.9,blocked,score_below_min,True,True
BAC,buy,3.06,entered,,True,True
SPY,sell,4.12,entered,,True,True
QQQ,buy,2.74,blocked,score_below_min,True,True
AAPL,sell,4.12,entered,,True,True
MSFT,buy,2.62,blocked,score_below_min,True,True
NVDA,buy,3.7,entered,,True,True
TSLA,sell,2.72,blocked,score_below_min,True,True
AMD,sell,3.36,entered,,True,True
META,sell,3.6,entered,,True,True
AMZN,buy,4.0600000000000005,entered,,True,True
COIN,sell,3.8,entered,,True,True
PLTR,sell,4.2,entered,,True,True
GS,buy,4.26,entered,,True,True
JPM,sell,4.2,entered,,True,True
BAC,sell,4.04,entered,,True,True
SPY,buy,2.66,blocked,score_below_min,True,True
QQQ,sell,3.16,entered,,True,True
AAPL,sell,2.88,blocked,score_below_min,True,True
MSFT,buy,3.18,entered,,True,True
NVDA,sell,4.28,entered,,True,True
TSLA,sell,4.04,entered,,True,True
AMD,sell,2.88,blocked,score_below_min,True,True
META,sell,3.16,entered,,True,True
AMZN,sell,2.68,blocked,score_below_min,True,True
COIN,buy,4.02,entered,,True,True
PLTR,buy,4.46,entered,,True,True
GS,sell,3.16,entered,,True,True
JPM,sell,4.0,entered,,True,True
BAC,buy,3.06,entered,,True,True
SPY,sell,4.36,entered,,True,True
QQQ,sell,3.16,entered,,True,True
AAPL,buy,3.06,entered,,True,True
MSFT,buy,3.46,entered,,True,True
NVDA,sell,4.32,entered,,True,True
TSLA,buy,3.14,entered,,True,True
AMD,buy,3.9,entered,,True,True
META,buy,3.02,entered,,True,True
AMZN,buy,3.74,entered,,True,True
COIN,sell,3.12,entered,,True,True
PLTR,buy,4.1,entered,,True,True
GS,buy,3.94,entered,,True,True
JPM,sell,4.08,entered,,True,True
