symbol,side,qty,entry_time_utc,exit_time_utc,entry_price,exit_price,pnl_usd,pnl_pct,hold_minutes,exit_reason,entry_score,correlation_id
BA,sell,2.0,2026-01-14 19:44:32.571873+00:00,2026-01-15 15:59:44.403885+00:00,241.825,246.99,-10.33,-2.1358,1215.2,"signal_decay(0.82)+stale_trade(1215min,-0.02%)",4.286,uw_77c28a8844d44c97
BAC,sell,6.0,2026-01-14 20:47:53.655102+00:00,2026-01-15 15:59:44.429869+00:00,52.35,52.97,-3.72,-1.1843,1151.8,"signal_decay(0.91)+stale_trade(1152min,-0.01%)",3.8799,uw_4840c505852d4bed
C,buy,4.0,2026-01-14 20:53:28.695281+00:00,2026-01-15 15:59:44.454654+00:00,112.3175,117.745,21.71,4.8323,1146.3,"signal_decay(0.68)+drawdown(4.8%)+stale_trade(1146min,0.05%)",4.982399999999999,uw_6319a83af55440c8
DIA,buy,2.0,2026-01-14 20:50:54.336004+00:00,2026-01-15 15:59:44.475687+00:00,490.985,494.8,7.63,0.777,1148.8,"signal_decay(0.66)+stale_trade(1149min,0.01%)",5.177999999999999,uw_db216b21c60b415c
F,sell,52.0,2026-01-14 20:50:09.706224+00:00,2026-01-15 15:59:44.497288+00:00,13.82,13.895,-3.9,-0.5427,1149.6,"signal_decay(0.82)+stale_trade(1150min,-0.01%)",4.0014,uw_03ce1056472548fc
IWM,sell,1.0,2026-01-14 20:48:16.422896+00:00,2026-01-15 15:59:44.518054+00:00,262.85,266.4399,-3.59,-1.3658,1151.5,"signal_decay(0.85)+stale_trade(1152min,-0.01%)",3.8799,uw_0a89328aa0434411
JNJ,buy,4.0,2026-01-14 20:51:17.540987+00:00,2026-01-15 15:59:44.539856+00:00,218.465,217.68,-3.14,-0.3593,1148.4,"signal_decay(0.66)+stale_trade(1148min,-0.00%)",5.106,uw_e761da35b4d64765
JPM,sell,1.0,2026-01-14 20:47:33.797685+00:00,2026-01-15 15:59:44.562622+00:00,307.81,311.98,-4.17,-1.3547,1152.2,"signal_decay(0.88)+stale_trade(1152min,-0.01%)",3.9042000000000003,uw_c9646486d8a94535
LOW,buy,1.0,2026-01-14 20:51:48.883424+00:00,2026-01-15 15:59:44.582069+00:00,275.26,277.395,2.13,0.7756,1147.9,"signal_decay(0.74)+stale_trade(1148min,0.01%)",5.0112,uw_0ea5ac6d8bc74a85
NVDA,sell,1.0,2026-01-14 20:47:23.229554+00:00,2026-01-15 15:59:44.606542+00:00,182.27,187.675,-5.41,-2.9654,1152.4,"signal_decay(0.81)+drawdown(3.0%)+stale_trade(1152min,-0.03%)",4.0563,uw_da0aa52493224c07
PFE,sell,14.0,2026-01-14 20:49:34.292731+00:00,2026-01-15 15:59:44.627488+00:00,25.48,25.435,0.63,0.1766,1150.2,"signal_decay(0.83)+stale_trade(1150min,0.00%)",4.089600000000001,uw_c479a80900d14540
PLTR,sell,1.0,2026-01-14 20:47:41.256902+00:00,2026-01-15 15:59:44.639848+00:00,178.1,179.75,-1.65,-0.9264,1152.1,"signal_decay(0.88)+stale_trade(1152min,-0.01%)",3.8933999999999997,uw_88f2f59b1fb640b8
SLB,sell,14.0,2026-01-14 20:49:21.161878+00:00,2026-01-15 15:59:44.667624+00:00,46.825,46.7255,1.39,0.2125,1150.4,"signal_decay(0.83)+stale_trade(1150min,0.00%)",4.1409,uw_d360337b870d4167
TSLA,sell,2.0,2026-01-14 20:47:25.319553+00:00,2026-01-15 15:59:44.681108+00:00,437.085,443.355,-12.54,-1.4345,1152.3,"signal_decay(0.71)+stale_trade(1152min,-0.01%)",4.1274,uw_bf5973cc62cc4a65
WMT,sell,6.0,2026-01-14 20:49:59.955973+00:00,2026-01-15 15:59:44.705769+00:00,120.34,120.44,-0.6,-0.0831,1149.7,"signal_decay(0.81)+stale_trade(1150min,-0.00%)",4.0743,uw_a48238c49dee4f6f
XLI,sell,1.0,2026-01-14 20:48:00.889459+00:00,2026-01-15 15:59:44.728468+00:00,163.9,165.775,-1.88,-1.144,1151.7,"signal_decay(0.85)+stale_trade(1152min,-0.01%)",3.8799,uw_b04e072355ae4c1c
COIN,long,1.0,2026-01-15 19:45:03.258782+00:00,2026-01-15 20:10:15.258782+00:00,245.68,240.68,5.0,0.6106,25.2,signal_decay(0.87)+profit_target(2%),4.3008,
HOOD,long,2.0,2026-01-15 19:44:54.476793+00:00,2026-01-15 20:17:36.476793+00:00,113.55,110.98,5.14,0.679,32.7,signal_decay(0.79)+profit_target(2%),4.666799999999999,
